Time,A_phi_r,A_phi_l,A_trq_r,A_trq_l,B_phi_r,B_phi_l,B_trq_r,B_trq_l,C_phi_r,C_phi_l,C_trq_r,C_trq_l,D_phi_r,D_phi_l,D_trq_r,D_trq_l,
1.035,-2.53523e-06,2.17722e-06,0,0,-2.16285e-06,2.52e-06,0,0,-2.16411e-06,2.51955e-06,0,0,-2.53436e-06,2.17579e-06,0,0,
1.036,-2.53425e-06,2.17753e-06,0,0,-2.16318e-06,2.51907e-06,0,0,-2.16442e-06,2.51859e-06,0,0,-2.53341e-06,2.17612e-06,0,0,
1.037,-2.53329e-06,2.17785e-06,0,0,-2.16352e-06,2.51814e-06,0,0,-2.16472e-06,2.51764e-06,0,0,-2.53246e-06,2.17646e-06,0,0,
1.038,-2.53233e-06,2.17816e-06,0,0,-2.16385e-06,2.51721e-06,0,0,-2.16503e-06,2.5167e-06,0,0,-2.53151e-06,2.1768e-06,0,0,
1.039,-2.53137e-06,2.17847e-06,0,0,-2.16418e-06,2.5163e-06,0,0,-2.16533e-06,2.51577e-06,0,0,-2.53058e-06,2.17713e-06,0,0,
1.04,-2.53043e-06,2.17878e-06,0,0,-2.16452e-06,2.51539e-06,0,0,-2.16564e-06,2.51484e-06,0,0,-2.52965e-06,2.17747e-06,0,0,
1.041,-2.52949e-06,2.17909e-06,0,0,-2.16485e-06,2.51448e-06,0,0,-2.16594e-06,2.51392e-06,0,0,-2.52872e-06,2.17781e-06,0,0,
1.042,-2.52856e-06,2.1794e-06,0,0,-2.16518e-06,2.51359e-06,0,0,-2.16625e-06,2.513e-06,0,0,-2.52781e-06,2.17814e-06,0,0,
1.043,-2.52763e-06,2.17971e-06,0,0,-2.16551e-06,2.5127e-06,0,0,-2.16655e-06,2.51209e-06,0,0,-2.5269e-06,2.17847e-06,0,0,
1.044,-2.52671e-06,2.18002e-06,0,0,-2.16584e-06,2.51181e-06,0,0,-2.16685e-06,2.51119e-06,0,0,-2.52599e-06,2.17881e-06,0,0,
1.045,-2.5258e-06,2.18033e-06,0,0,-2.16617e-06,2.51094e-06,0,0,-2.16716e-06,2.5103e-06,0,0,-2.5251e-06,2.17914e-06,0,0,
1.046,-2.52489e-06,2.18064e-06,0,0,-2.1665e-06,2.51007e-06,0,0,-2.16746e-06,2.50941e-06,0,0,-2.52421e-06,2.17947e-06,0,0,
1.047,-2.52399e-06,2.18095e-06,0,0,-2.16683e-06,2.5092e-06,0,0,-2.16776e-06,2.50853e-06,0,0,-2.52332e-06,2.1798e-06,0,0,
1.048,-2.5231e-06,2.18126e-06,0,0,-2.16715e-06,2.50834e-06,0,0,-2.16806e-06,2.50765e-06,0,0,-2.52245e-06,2.18013e-06,0,0,
1.049,-2.52222e-06,2.18157e-06,0,0,-2.16748e-06,2.50749e-06,0,0,-2.16836e-06,2.50678e-06,0,0,-2.52158e-06,2.18046e-06,0,0,
1.05,-2.52134e-06,2.18187e-06,0,0,-2.16781e-06,2.50665e-06,0,0,-2.16867e-06,2.50592e-06,0,0,-2.52071e-06,2.18079e-06,0,0,
1.051,-2.52046e-06,2.18218e-06,0,0,-2.16813e-06,2.50581e-06,0,0,-2.16897e-06,2.50506e-06,0,0,-2.51985e-06,2.18112e-06,0,0,
1.052,-2.5196e-06,2.18249e-06,0,0,-2.16846e-06,2.50497e-06,0,0,-2.16927e-06,2.50421e-06,0,0,-2.519e-06,2.18144e-06,0,0,
1.053,-2.51874e-06,2.18279e-06,0,0,-2.16878e-06,2.50414e-06,0,0,-2.16957e-06,2.50336e-06,0,0,-2.51815e-06,2.18177e-06,0,0,
1.054,-2.51788e-06,2.1831e-06,0,0,-2.1691e-06,2.50332e-06,0,0,-2.16987e-06,2.50252e-06,0,0,-2.51731e-06,2.1821e-06,0,0,
1.055,-2.51703e-06,2.1834e-06,0,0,-2.16943e-06,2.5025e-06,0,0,-2.17017e-06,2.50169e-06,0,0,-2.51648e-06,2.18242e-06,0,0,
1.056,-2.51619e-06,2.18371e-06,0,0,-2.16975e-06,2.50169e-06,0,0,-2.17046e-06,2.50087e-06,0,0,-2.51565e-06,2.18275e-06,0,0,
1.057,-2.51536e-06,2.18401e-06,0,0,-2.17007e-06,2.50089e-06,0,0,-2.17076e-06,2.50004e-06,0,0,-2.51483e-06,2.18307e-06,0,0,
1.058,-2.51453e-06,2.18432e-06,0,0,-2.17039e-06,2.50009e-06,0,0,-2.17106e-06,2.49923e-06,0,0,-2.51401e-06,2.1834e-06,0,0,
1.059,-2.5137e-06,2.18462e-06,0,0,-2.17071e-06,2.49929e-06,0,0,-2.17136e-06,2.49842e-06,0,0,-2.5132e-06,2.18372e-06,0,0,
1.06,-2.51288e-06,2.18492e-06,0,0,-2.17103e-06,2.49851e-06,0,0,-2.17166e-06,2.49762e-06,0,0,-2.5124e-06,2.18404e-06,0,0,
1.061,-2.51207e-06,2.18523e-06,0,0,-2.17135e-06,2.49772e-06,0,0,-2.17195e-06,2.49682e-06,0,0,-2.5116e-06,2.18436e-06,0,0,
1.062,-2.51126e-06,2.18553e-06,0,0,-2.17167e-06,2.49695e-06,0,0,-2.17225e-06,2.49602e-06,0,0,-2.5108e-06,2.18468e-06,0,0,
1.063,-2.51046e-06,2.18583e-06,0,0,-2.17199e-06,2.49617e-06,0,0,-2.17254e-06,2.49524e-06,0,0,-2.51002e-06,2.18501e-06,0,0,
1.064,-2.50967e-06,2.18613e-06,0,0,-2.17231e-06,2.49541e-06,0,0,-2.17284e-06,2.49446e-06,0,0,-2.50923e-06,2.18532e-06,0,0,
1.065,-2.50888e-06,2.18643e-06,0,0,-2.17262e-06,2.49465e-06,0,0,-2.17314e-06,2.49368e-06,0,0,-2.50845e-06,2.18564e-06,0,0,
1.066,-2.50809e-06,2.18673e-06,0,0,-2.17294e-06,2.49389e-06,0,0,-2.17343e-06,2.49291e-06,0,0,-2.50768e-06,2.18596e-06,0,0,
1.067,-2.50731e-06,2.18703e-06,0,0,-2.17325e-06,2.49314e-06,0,0,-2.17372e-06,2.49214e-06,0,0,-2.50692e-06,2.18628e-06,0,0,
1.068,-2.50654e-06,2.18733e-06,0,0,-2.17357e-06,2.49239e-06,0,0,-2.17402e-06,2.49138e-06,0,0,-2.50616e-06,2.1866e-06,0,0,
1.069,-2.50577e-06,2.18763e-06,0,0,-2.17388e-06,2.49165e-06,0,0,-2.17431e-06,2.49063e-06,0,0,-2.5054e-06,2.18691e-06,0,0,
1.07,-2.50501e-06,2.18793e-06,0,0,-2.1742e-06,2.49092e-06,0,0,-2.17461e-06,2.48988e-06,0,0,-2.50465e-06,2.18723e-06,0,0,
1.071,-2.50425e-06,2.18823e-06,0,0,-2.17451e-06,2.49019e-06,0,0,-2.1749e-06,2.48913e-06,0,0,-2.5039e-06,2.18755e-06,0,0,
1.072,-2.5035e-06,2.18852e-06,0,0,-2.17482e-06,2.48946e-06,0,0,-2.17519e-06,2.4884e-06,0,0,-2.50316e-06,2.18786e-06,0,0,
1.073,-2.50275e-06,2.18882e-06,0,0,-2.17513e-06,2.48874e-06,0,0,-2.17548e-06,2.48766e-06,0,0,-2.50243e-06,2.18817e-06,0,0,
1.074,-2.50201e-06,2.18912e-06,0,0,-2.17544e-06,2.48802e-06,0,0,-2.17577e-06,2.48693e-06,0,0,-2.5017e-06,2.18849e-06,0,0,
1.075,-2.50127e-06,2.18941e-06,0,0,-2.17575e-06,2.48731e-06,0,0,-2.17606e-06,2.48621e-06,0,0,-2.50097e-06,2.1888e-06,0,0,
1.076,-2.50054e-06,2.18971e-06,0,0,-2.17606e-06,2.48661e-06,0,0,-2.17636e-06,2.48549e-06,0,0,-2.50025e-06,2.18911e-06,0,0,
1.077,-2.49981e-06,2.19e-06,0,0,-2.17637e-06,2.4859e-06,0,0,-2.17665e-06,2.48477e-06,0,0,-2.49954e-06,2.18942e-06,0,0,
1.078,-2.49909e-06,2.1903e-06,0,0,-2.17668e-06,2.48521e-06,0,0,-2.17694e-06,2.48406e-06,0,0,-2.49882e-06,2.18973e-06,0,0,
1.079,-2.49838e-06,2.19059e-06,0,0,-2.17699e-06,2.48452e-06,0,0,-2.17722e-06,2.48336e-06,0,0,-2.49812e-06,2.19004e-06,0,0,
1.08,-2.49766e-06,2.19089e-06,0,0,-2.1773e-06,2.48383e-06,0,0,-2.17751e-06,2.48266e-06,0,0,-2.49742e-06,2.19035e-06,0,0,
1.081,-2.49696e-06,2.19118e-06,0,0,-2.1776e-06,2.48315e-06,0,0,-2.1778e-06,2.48196e-06,0,0,-2.49672e-06,2.19066e-06,0,0,
1.082,-2.49625e-06,2.19147e-06,0,0,-2.17791e-06,2.48247e-06,0,0,-2.17809e-06,2.48127e-06,0,0,-2.49603e-06,2.19097e-06,0,0,
1.083,-2.49556e-06,2.19176e-06,0,0,-2.17821e-06,2.48179e-06,0,0,-2.17838e-06,2.48059e-06,0,0,-2.49534e-06,2.19128e-06,0,0,
1.084,-2.49486e-06,2.19206e-06,0,0,-2.17852e-06,2.48112e-06,0,0,-2.17867e-06,2.47991e-06,0,0,-2.49466e-06,2.19158e-06,0,0,
1.085,-2.49418e-06,2.19235e-06,0,0,-2.17882e-06,2.48046e-06,0,0,-2.17895e-06,2.47923e-06,0,0,-2.49398e-06,2.19189e-06,0,0,
1.086,-2.49349e-06,2.19264e-06,0,0,-2.17913e-06,2.4798e-06,0,0,-2.17924e-06,2.47856e-06,0,0,-2.49331e-06,2.1922e-06,0,0,
1.087,-2.49281e-06,2.19293e-06,0,0,-2.17943e-06,2.47914e-06,0,0,-2.17952e-06,2.47789e-06,0,0,-2.49264e-06,2.1925e-06,0,0,
1.088,-2.49214e-06,2.19322e-06,0,0,-2.17973e-06,2.47849e-06,0,0,-2.17981e-06,2.47722e-06,0,0,-2.49198e-06,2.19281e-06,0,0,
1.089,-2.49147e-06,2.19351e-06,0,0,-2.18003e-06,2.47784e-06,0,0,-2.18009e-06,2.47657e-06,0,0,-2.49132e-06,2.19311e-06,0,0,
1.09,-2.4908e-06,2.1938e-06,0,0,-2.18034e-06,2.4772e-06,0,0,-2.18038e-06,2.47591e-06,0,0,-2.49066e-06,2.19341e-06,0,0,
1.091,-2.49014e-06,2.19408e-06,0,0,-2.18064e-06,2.47656e-06,0,0,-2.18066e-06,2.47526e-06,0,0,-2.49001e-06,2.19372e-06,0,0,
1.092,-2.48948e-06,2.19437e-06,0,0,-2.18094e-06,2.47593e-06,0,0,-2.18095e-06,2.47461e-06,0,0,-2.48936e-06,2.19402e-06,0,0,
1.093,-2.48883e-06,2.19466e-06,0,0,-2.18123e-06,2.4753e-06,0,0,-2.18123e-06,2.47397e-06,0,0,-2.48872e-06,2.19432e-06,0,0,
1.094,-2.48818e-06,2.19495e-06,0,0,-2.18153e-06,2.47467e-06,0,0,-2.18151e-06,2.47333e-06,0,0,-2.48808e-06,2.19462e-06,0,0,
1.095,-2.48754e-06,2.19523e-06,0,0,-2.18183e-06,2.47405e-06,0,0,-2.1818e-06,2.4727e-06,0,0,-2.48745e-06,2.19492e-06,0,0,
1.096,-2.4869e-06,2.19552e-06,0,0,-2.18213e-06,2.47343e-06,0,0,-2.18208e-06,2.47207e-06,0,0,-2.48682e-06,2.19522e-06,0,0,
1.097,-2.48627e-06,2.1958e-06,0,0,-2.18243e-06,2.47281e-06,0,0,-2.18236e-06,2.47145e-06,0,0,-2.48619e-06,2.19552e-06,0,0,
1.098,-2.48563e-06,2.19609e-06,0,0,-2.18272e-06,2.4722e-06,0,0,-2.18264e-06,2.47083e-06,0,0,-2.48557e-06,2.19582e-06,0,0,
1.099,-2.48501e-06,2.19637e-06,0,0,-2.18302e-06,2.4716e-06,0,0,-2.18292e-06,2.47021e-06,0,0,-2.48495e-06,2.19611e-06,0,0,
1.1,-2.48438e-06,2.19666e-06,0,0,-2.18331e-06,2.47099e-06,0,0,-2.1832e-06,2.46959e-06,0,0,-2.48433e-06,2.19641e-06,0,0,
1.101,-2.48376e-06,2.19694e-06,0,0,-2.18361e-06,2.4704e-06,0,0,-2.18348e-06,2.46899e-06,0,0,-2.48372e-06,2.19671e-06,0,0,
1.102,-2.48315e-06,2.19722e-06,0,0,-2.1839e-06,2.4698e-06,0,0,-2.18376e-06,2.46838e-06,0,0,-2.48312e-06,2.197e-06,0,0,
1.103,-2.48254e-06,2.19751e-06,0,0,-2.18419e-06,2.46921e-06,0,0,-2.18404e-06,2.46778e-06,0,0,-2.48252e-06,2.1973e-06,0,0,
1.104,-2.48193e-06,2.19779e-06,0,0,-2.18449e-06,2.46862e-06,0,0,-2.18432e-06,2.46718e-06,0,0,-2.48192e-06,2.19759e-06,0,0,
1.105,-2.48133e-06,2.19807e-06,0,0,-2.18478e-06,2.46804e-06,0,0,-2.18459e-06,2.46659e-06,0,0,-2.48132e-06,2.19788e-06,0,0,
1.106,-2.48073e-06,2.19835e-06,0,0,-2.18507e-06,2.46746e-06,0,0,-2.18487e-06,2.466e-06,0,0,-2.48073e-06,2.19818e-06,0,0,
1.107,-2.48013e-06,2.19863e-06,0,0,-2.18536e-06,2.46688e-06,0,0,-2.18515e-06,2.46541e-06,0,0,-2.48014e-06,2.19847e-06,0,0,
1.108,-2.47954e-06,2.19891e-06,0,0,-2.18565e-06,2.46631e-06,0,0,-2.18543e-06,2.46483e-06,0,0,-2.47956e-06,2.19876e-06,0,0,
1.109,-2.47895e-06,2.19919e-06,0,0,-2.18594e-06,2.46574e-06,0,0,-2.1857e-06,2.46425e-06,0,0,-2.47898e-06,2.19905e-06,0,0,
1.11,-2.47837e-06,2.19947e-06,0,0,-2.18623e-06,2.46517e-06,0,0,-2.18598e-06,2.46367e-06,0,0,-2.47841e-06,2.19934e-06,0,0,
