time,A_phi_r,A_phi_l,A_trq_r,A_trq_l,A_dist,B_phi_r,B_phi_l,B_trq_r,B_trq_l,B_dist,C_phi_r,C_phi_l,C_trq_r,C_trq_l,C_dist,D_phi_r,D_phi_l,D_trq_r,D_trq_l,D_dist,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,vel_x,vel_y,vel_z,vel_rx,vel_ry,vel_rz,acc_x,acc_y,acc_z
1.012,0.00369139,0.00224691,2.56487,-2.29539,0.111951,0.00915658,0.00820248,2.62426,-1.84134,0.111943,0.00217975,0.00122571,2.68066,-2.52658,0.111937,0.00813534,0.00669088,2.79417,-2.12717,0.111945,-0.0300007,6.22584e-08,0.113024,2.56238e-05,-8.35834e-06,5.08756e-07,1,-6.85381e-05,7.2405e-07,0.00804742,0.00887214,0.000155845,-2.87443e-05,-0.0021025,0.000602164,0.684356
1.013,0.0043515,0.00264849,2.58096,-2.32282,0.111961,0.0107938,0.00966886,2.58319,-1.8322,0.111951,0.0025696,0.00144471,2.68731,-2.53991,0.111945,0.00958998,0.007887,2.74703,-2.10769,0.111954,-0.0300007,6.2258e-08,0.113032,3.05168e-05,-8.11535e-06,4.92699e-07,1,-7.11376e-05,7.90194e-07,0.00870519,0.00978608,0.000485989,-3.22099e-05,-0.00242956,0.00070505,0.65777
1.014,0.00505884,0.00307881,2.60456,-2.35929,0.111971,0.0125482,0.0112401,2.51962,-1.80147,0.111959,0.00298734,0.00167939,2.69748,-2.55802,0.111953,0.0111487,0.00916869,2.66887,-2.06027,0.111965,-0.0300007,6.22575e-08,0.113041,3.56526e-05,-7.78976e-06,4.74596e-07,1,-7.36716e-05,8.17975e-07,0.00929166,0.0102716,0.000651165,-3.63077e-05,-0.0023721,0.000769115,0.586466
1.015,0.005812,0.003537,2.62386,-2.39109,0.111981,0.0144162,0.0129132,2.45071,-1.76307,0.111968,0.00343215,0.00192926,2.713,-2.58051,0.111963,0.0128084,0.0105334,2.60216,-2.02077,0.111976,-0.0300007,6.22571e-08,0.11305,4.11413e-05,-7.33122e-06,4.54406e-07,1,-7.63611e-05,8.62929e-07,0.00981124,0.0109774,0.000917082,-4.04993e-05,-0.00253801,0.000894916,0.519585
1.016,0.00660959,0.00402222,2.65263,-2.42983,0.111992,0.0163944,0.014685,2.36212,-1.70524,0.111977,0.00390319,0.00219388,2.74564,-2.61714,0.111972,0.014566,0.0119786,2.53632,-1.97718,0.111987,-0.0300007,6.22566e-08,0.11306,4.7216e-05,-6.55971e-06,4.3228e-07,1,-7.92242e-05,9.44307e-07,0.0102671,0.0121495,0.001543,-4.44052e-05,-0.00272839,0.00105083,0.455836
1.017,0.00745029,0.00453367,2.69841,-2.49097,0.112004,0.0184795,0.0165525,2.29838,-1.67176,0.111986,0.00439969,0.0024728,2.77403,-2.65589,0.111982,0.0164186,0.0135019,2.43006,-1.90196,0.111999,-0.0300007,6.22561e-08,0.11307,5.35864e-05,-5.72659e-06,4.07724e-07,1,-8.13585e-05,9.73182e-07,0.010667,0.0127408,0.00166624,-4.92736e-05,-0.00201738,0.00112311,0.399891
1.018,0.0083328,0.00507055,2.75534,-2.55912,0.112015,0.0206683,0.0185129,2.20728,-1.60755,0.111996,0.00492089,0.00276559,2.81813,-2.70691,0.111993,0.0183633,0.015101,2.34505,-1.84222,0.112011,-0.0300008,6.22556e-08,0.113081,6.0225e-05,-4.80855e-06,3.8069e-07,1,-8.37199e-05,9.9733e-07,0.0110248,0.0132772,0.00183607,-5.42421e-05,-0.0022636,0.00124887,0.357789
1.019,0.00925586,0.00563211,2.79834,-2.61458,0.112027,0.0229577,0.0205634,2.11541,-1.54124,0.112005,0.00546603,0.00307183,2.87016,-2.765,0.112003,0.0203974,0.0167736,2.25997,-1.7769,0.112024,-0.0300008,6.22551e-08,0.113091,6.74079e-05,-3.68135e-06,3.5127e-07,1,-8.60456e-05,1.06324e-06,0.0113289,0.0143657,0.0022544,-5.90443e-05,-0.0022513,0.00142947,0.304114
1.02,0.0102183,0.00621761,2.8752,-2.70369,0.11204,0.0253447,0.0227013,1.97471,-1.4295,0.112015,0.00603441,0.00339113,2.94257,-2.84574,0.112014,0.0225182,0.0185175,2.11613,-1.65719,0.112037,-0.0300008,6.22545e-08,0.113102,7.50717e-05,-2.33446e-06,3.19333e-07,1,-8.79639e-05,1.1151e-06,0.0115247,0.0153277,0.00269377,-6.41129e-05,-0.00187158,0.00155419,0.195845
1.021,0.0112188,0.00682632,2.95497,-2.80001,0.112052,0.0278263,0.0249239,1.90787,-1.37824,0.112025,0.00662533,0.00372309,3.00692,-2.91644,0.112025,0.0247231,0.0203305,2.04331,-1.6032,0.112051,-0.0300008,6.2254e-08,0.113113,8.28081e-05,-8.44254e-07,2.83896e-07,1,-8.97084e-05,1.09967e-06,0.0117615,0.0154727,0.00298041,-7.11341e-05,-0.00172755,0.00164849,0.236808
